"p_id","disorder_name","disorder_letter","words"
1001,"articulation_disorder","s","snake"
1002,"articulation_disorder","s","mouse"
1003,"articulation_disorder","s","socks"
1004,"articulation_disorder","s","sun"
1005,"articulation_disorder","s","eraser"
1006,"articulation_disorder","s","cross"
1007,"articulation_disorder","s","star"
1008,"articulation_disorder","s","sister"
1009,"articulation_disorder","s","ears"
1010,"articulation_disorder","n","nine"
1011,"articulation_disorder","n","monkey"
1012,"articulation_disorder","n","green"
1013,"articulation_disorder","n","neptune"
1014,"articulation_disorder","n","bunny"
1015,"articulation_disorder","n","pen"
1016,"articulation_disorder","n","nose"
1017,"articulation_disorder","n","rainbow"
1018,"articulation_disorder","n","garden"
1019,"articulation_disorder","t","tractor"
1020,"articulation_disorder","t","turtle"
1021,"articulation_disorder","t","cat"
1022,"articulation_disorder","t","two"
1023,"articulation_disorder","t","potato"
1024,"articulation_disorder","t","austronaut"
1025,"articulation_disorder","t","triangle"
1026,"articulation_disorder","t","water"
1027,"articulation_disorder","t","coat"
1028,"articulation_disorder","r","horse"
1029,"articulation_disorder","r","rabbit"
1030,"articulation_disorder","r","horror"
1031,"articulation_disorder","r","chopper"
1032,"articulation_disorder","r","race"
1033,"articulation_disorder","r","rock"
1034,"articulation_disorder","r","bring"
1035,"articulation_disorder","r","war"
1036,"articulation_disorder","r","worse"
